Datum,00-04,05-14,15-34,35-59,60-79,80+
2020-03-01,0,0,9,12,3,0
2020-03-02,0,0,11,15,3,0
2020-03-03,0,0,16,23,7,1
2020-03-04,0,0,18,33,13,1
2020-03-05,0,0,19,40,17,2
2020-03-06,0,0,20,52,17,4
2020-03-07,1,3,23,71,27,9
2020-03-08,1,3,26,75,36,9
2020-03-09,2,3,24,81,38,11
2020-03-10,2,3,23,91,45,17
2020-03-11,2,4,30,106,55,24
2020-03-12,3,4,34,116,78,27
2020-03-13,3,5,36,142,99,34
2020-03-14,2,2,42,180,117,45
2020-03-15,3,2,48,207,128,58
2020-03-16,2,2,53,233,153,78
2020-03-17,2,4,62,288,225,97
2020-03-18,2,4,67,339,298,138
2020-03-19,7,4,82,436,389,198
2020-03-20,8,4,108,506,507,256
2020-03-21,8,5,133,565,628,336
2020-03-22,12,5,139,655,759,428
2020-03-23,14,6,145,714,860,476
2020-03-24,18,6,164,780,996,556
2020-03-25,25,9,189,887,1203,663
2020-03-26,23,14,217,991,1425,793
2020-03-27,26,14,220,1097,1652,943
2020-03-28,31,13,227,1215,1881,1074
2020-03-29,30,15,240,1299,2084,1172
2020-03-30,32,15,258,1349,2212,1255
2020-03-31,31,15,264,1405,2340,1397
2020-04-01,30,12,283,1463,2529,1567
2020-04-02,29,7,280,1494,2599,1699
2020-04-03,30,6,292,1488,2628,1791
2020-04-04,30,12,308,1460,2638,1877
2020-04-05,30,14,305,1408,2549,1906
2020-04-06,26,17,300,1342,2482,1915
2020-04-07,29,18,310,1295,2433,1925
2020-04-08,31,18,290,1242,2269,1916
2020-04-09,30,21,279,1185,2181,1908
2020-04-10,28,22,260,1136,2091,1896
2020-04-11,25,16,227,1036,1892,1771
2020-04-12,22,12,224,980,1812,1745
2020-04-13,24,8,224,977,1757,1741
2020-04-14,18,5,192,889,1608,1644
2020-04-15,13,7,183,817,1503,1539
2020-04-16,12,5,182,744,1434,1487
2020-04-17,11,7,184,698,1355,1392
2020-04-18,11,10,195,689,1345,1394
2020-04-19,10,12,197,657,1302,1322
2020-04-20,9,12,187,633,1277,1258
2020-04-21,14,15,206,647,1263,1265
2020-04-22,13,16,201,607,1190,1203
2020-04-23,14,18,200,564,1086,1103
2020-04-24,15,16,200,503,961,1023
2020-04-25,17,16,188,461,895,937
2020-04-26,20,14,180,448,833,882
2020-04-27,20,15,180,417,767,830
2020-04-28,15,13,160,393,744,725
2020-04-29,15,9,161,385,705,687
2020-04-30,16,7,145,355,648,595
2020-05-01,16,11,138,357,636,552
2020-05-02,18,8,119,324,574,497
2020-05-03,19,8,114,286,531,454
2020-05-04,19,8,108,286,513,430
2020-05-05,21,7,111,271,461,415
2020-05-06,20,7,102,258,427,372
2020-05-07,18,7,98,258,404,374
2020-05-08,18,5,92,242,387,357
2020-05-09,13,7,95,249,387,357
2020-05-10,11,8,94,252,379,346
2020-05-11,10,7,90,241,384,347
2020-05-12,10,8,90,243,362,351
2020-05-13,10,11,83,225,348,326
2020-05-14,10,13,73,213,315,293
2020-05-15,7,10,68,194,280,273
2020-05-16,6,10,60,186,259,263
2020-05-17,5,12,53,176,246,263
2020-05-18,7,14,59,178,230,249
2020-05-19,8,13,49,152,222,218
2020-05-20,8,10,50,142,193,224
2020-05-21,7,9,56,136,193,202
2020-05-22,7,9,50,125,174,176
2020-05-23,7,7,56,122,169,167
2020-05-24,6,4,60,118,171,159
2020-05-25,4,2,51,117,172,167
2020-05-26,2,2,55,125,165,171
2020-05-27,1,2,48,127,168,141
2020-05-28,2,0,44,114,160,134
2020-05-29,2,0,45,125,167,139
2020-05-30,2,0,39,119,152,132
2020-05-31,4,0,33,129,145,124
2020-06-01,4,0,38,123,137,117
2020-06-02,3,1,30,111,121,100
2020-06-03,4,1,31,95,108,98
2020-06-04,3,1,35,99,101,101
2020-06-05,3,2,36,95,91,90
2020-06-06,3,2,38,93,93,79
2020-06-07,2,2,43,91,91,78
2020-06-08,3,5,40,94,90,74
2020-06-09,4,4,41,99,89,74
2020-06-10,4,6,40,96,85,69
2020-06-11,6,6,36,89,84,62
2020-06-12,9,6,37,77,75,61
2020-06-13,12,7,44,81,73,65
2020-06-14,11,7,46,80,69,64
2020-06-15,11,5,47,84,70,75
2020-06-16,11,5,47,84,71,79
2020-06-17,10,3,53,99,78,75
2020-06-18,9,3,54,102,67,75
2020-06-19,6,4,53,121,72,71
2020-06-20,4,3,54,127,75,64
2020-06-21,5,4,52,126,78,67
2020-06-22,5,3,52,120,81,62
2020-06-23,4,5,55,121,84,58
2020-06-24,4,8,51,117,81,58
2020-06-25,4,8,53,115,84,59
2020-06-26,6,6,55,104,90,65
2020-06-27,5,6,51,104,89,68
2020-06-28,4,5,47,103,88,61
2020-06-29,3,7,45,105,80,56
2020-06-30,4,6,46,110,79,56
2020-07-01,4,3,47,103,74,59
2020-07-02,4,5,46,96,68,57
