Refdatum,AnzahlFall,daily,current
2020-01-01,0.0,20,0.0
2020-01-02,0.0,18,0.0
2020-01-03,0.0,21,0.0
2020-01-04,0.0,25,0.0
2020-01-05,0.0,22,0.0
2020-01-06,0.0,12,0.0
2020-01-07,18.428571428571427,11,0.0
2020-01-08,16.571428571428573,7,0.0
2020-01-09,15.142857142857142,8,0.0
2020-01-10,12.857142857142858,5,0.0
2020-01-11,10.428571428571429,8,0.0
2020-01-12,8.714285714285714,10,0.0
2020-01-13,8.142857142857142,8,0.0
2020-01-14,7.571428571428571,7,0.0
2020-01-15,7.714285714285714,8,105.57142857142856
2020-01-16,7.714285714285714,8,113.28571428571426
2020-01-17,8.0,7,121.28571428571426
2020-01-18,7.428571428571429,4,128.7142857142857
2020-01-19,7.285714285714286,9,135.99999999999997
2020-01-20,8.428571428571429,16,144.4285714285714
2020-01-21,8.142857142857142,5,134.1428571428571
2020-01-22,8.857142857142858,13,126.42857142857139
2020-01-23,8.571428571428571,6,119.85714285714283
2020-01-24,9.0,10,115.99999999999997
2020-01-25,9.285714285714286,6,114.85714285714282
2020-01-26,8.857142857142858,6,114.99999999999997
2020-01-27,8.571428571428571,14,115.42857142857142
2020-01-28,9.285714285714286,10,117.14285714285712
2020-01-29,9.285714285714286,13,118.7142857142857
2020-01-30,10.428571428571429,14,121.4285714285714
2020-01-31,11.428571428571429,17,124.85714285714282
2020-02-01,12.142857142857142,11,129.57142857142853
2020-02-02,13.285714285714286,14,135.57142857142853
2020-02-03,12.142857142857142,6,139.28571428571428
2020-02-04,11.428571428571429,5,142.57142857142858
2020-02-05,10.571428571428571,7,144.28571428571428
2020-02-06,8.857142857142858,2,144.57142857142853
2020-02-07,7.142857142857143,5,142.7142857142857
2020-02-08,6.0,3,139.42857142857142
2020-02-09,5.0,7,135.57142857142856
2020-02-10,6.428571428571429,16,133.42857142857142
2020-02-11,7.714285714285714,14,131.85714285714286
2020-02-12,7.857142857142857,8,130.42857142857142
2020-02-13,8.142857142857142,4,128.14285714285717
2020-02-14,8.714285714285714,9,125.42857142857147
2020-02-15,10.857142857142858,18,124.14285714285717
2020-02-16,12.0,15,122.85714285714289
2020-02-17,11.571428571428571,13,122.28571428571428
2020-02-18,12.0,17,122.85714285714283
2020-02-19,12.857142857142858,14,125.14285714285711
2020-02-20,17.0,33,133.28571428571428
2020-02-21,18.428571428571427,19,144.57142857142856
2020-02-22,20.0,29,158.57142857142856
2020-02-23,24.142857142857142,44,177.71428571428572
2020-02-24,32.285714285714285,70,203.57142857142856
2020-02-25,45.57142857142857,110,241.4285714285714
