los_mv_bin,count
0,64
1,226
2,238
3,255
4,217
5,250
6,234
7,211
8,177
9,153
10,162
11,130
12,142
13,122
14,133
15,128
16,87
17,68
18,83
19,73
20,82
21,82
22,45
23,58
24,57
25,61
26,48
27,44
28,42
29,44
30,39
31,41
32,33
33,42
34,57
35,30
36,26
37,32
38,36
39,27
40,25
41,23
42,25
43,27
44,10
45,13
46,31
47,23
48,17
49,9
50,6
51,16
52,14
53,9
54,19
55,11
56,9
57,11
58,6
59,9
60,1
61,10
62,2
63,5
64,2
65,16
66,8
67,1
68,2
69,7
70,8
71,9
72,6
73,8
74,7
75,12
76,3
77,7
78,0
79,2
80,4
81,3
82,4
83,5
84,7
85,2
86,6
87,7
88,0
89,4
90,8
91,6
92,0
93,0
94,5
95,0
96,2
97,2
98,0
99,4
100,2
101,4
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,3
110,0
111,1
112,2
113,6
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,3
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,5
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,4
161,0
162,0
163,0
164,0
165,0
166,2
167,0
168,0
169,0
170,0
171,0
172,0
