,icu_occupancy,icu_admissions,icu_admissions_smooth
2020-01-01,0.0,0.0,
2020-01-02,0.0,0.0,
2020-01-03,0.0,0.0,
2020-01-04,0.0,0.0,
2020-01-05,0.0,0.0,
2020-01-06,0.0,0.0,
2020-01-07,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0
2020-03-20,200.0,0.0,0.0
2020-03-21,308.0,0.0,0.0
2020-03-22,364.0,0.0,0.0
2020-03-23,451.0,0.0,0.0
2020-03-24,616.0,0.0,0.0
2020-03-25,789.0,0.0,0.0
2020-03-26,824.0,0.0,0.0
2020-03-27,905.0,0.0,0.0
2020-03-28,1001.0,0.0,0.0
2020-03-29,1063.0,0.0,0.0
2020-03-30,1203.0,0.0,0.0
2020-03-31,1550.0,0.0,0.0
2020-04-01,1784.0,0.0,0.0
2020-04-02,2102.0,0.0,0.0
2020-04-03,2361.0,0.0,0.0
2020-04-04,2471.0,0.0,0.0
2020-04-05,2528.0,0.0,0.0
2020-04-06,2551.0,0.0,0.0
2020-04-07,2641.0,0.0,0.0
2020-04-08,2654.0,0.0,0.0
2020-04-09,2714.0,0.0,0.0
2020-04-10,2702.0,0.0,0.0
2020-04-11,2652.0,0.0,0.0
2020-04-12,2652.0,0.0,0.0
2020-04-13,2719.0,0.0,0.0
2020-04-14,2722.0,0.0,0.0
2020-04-15,2735.0,0.0,0.0
2020-04-16,2810.0,0.0,0.0
2020-04-17,2879.0,0.0,0.0
2020-04-18,2928.0,0.0,0.0
2020-04-19,2870.0,0.0,0.0
2020-04-20,2900.0,0.0,0.0
2020-04-21,2855.0,0.0,0.0
2020-04-22,2739.0,0.0,0.0
2020-04-23,2720.0,0.0,0.0
2020-04-24,2644.0,0.0,0.0
2020-04-25,2538.0,0.0,0.0
2020-04-26,2524.0,0.0,0.0
2020-04-27,2466.0,0.0,0.0
2020-04-28,2391.0,0.0,0.0
2020-04-29,2310.0,0.0,0.0
2020-04-30,2235.0,0.0,0.0
2020-05-01,2118.0,0.0,0.0
2020-05-02,2046.0,0.0,0.0
2020-05-03,2011.0,0.0,0.0
2020-05-04,1976.0,0.0,0.0
2020-05-05,1903.0,0.0,0.0
2020-05-06,1820.0,0.0,0.0
2020-05-07,1763.0,0.0,0.0
2020-05-08,1659.0,0.0,0.0
2020-05-09,1594.0,0.0,0.0
2020-05-10,1603.0,0.0,0.0
2020-05-11,1587.0,0.0,0.0
2020-05-12,1496.0,0.0,0.0
2020-05-13,1384.0,0.0,0.0
2020-05-14,1316.0,0.0,0.0
2020-05-15,1232.0,0.0,0.0
2020-05-16,1173.0,0.0,0.0
2020-05-17,1125.0,0.0,0.0
2020-05-18,1122.0,0.0,0.0
2020-05-19,1087.0,0.0,0.0
2020-05-20,1019.0,0.0,0.0
2020-05-21,999.0,0.0,0.0
2020-05-22,971.0,0.0,0.0
2020-05-23,928.0,0.0,0.0
2020-05-24,896.0,0.0,0.0
2020-05-25,883.0,0.0,0.0
2020-05-26,810.0,0.0,0.0
2020-05-27,749.0,0.0,0.0
2020-05-28,723.0,0.0,0.0
2020-05-29,722.0,0.0,0.0
2020-05-30,711.0,0.0,0.0
2020-05-31,697.0,0.0,0.0
2020-06-01,696.0,0.0,0.0
2020-06-02,691.0,0.0,0.0
2020-06-03,631.0,0.0,0.0
2020-06-04,595.0,0.0,0.0
2020-06-05,584.0,0.0,0.0
2020-06-06,561.0,0.0,0.0
2020-06-07,566.0,0.0,0.0
2020-06-08,543.0,0.0,0.0
2020-06-09,516.0,0.0,0.0
2020-06-10,483.0,0.0,0.0
2020-06-11,452.0,0.0,0.0
2020-06-12,450.0,0.0,0.0
2020-06-13,441.0,0.0,0.0
2020-06-14,438.0,0.0,0.0
2020-06-15,434.0,0.0,0.0
2020-06-16,421.0,0.0,0.0
2020-06-17,407.0,0.0,0.0
2020-06-18,394.0,0.0,0.0
2020-06-19,374.0,0.0,0.0
2020-06-20,359.0,0.0,0.0
2020-06-21,350.0,0.0,0.0
2020-06-22,363.0,0.0,0.0
2020-06-23,358.0,0.0,0.0
2020-06-24,353.0,0.0,0.0
2020-06-25,358.0,0.0,0.0
2020-06-26,359.0,0.0,0.0
2020-06-27,343.0,0.0,0.0
2020-06-28,335.0,0.0,0.0
2020-06-29,329.0,0.0,0.0
2020-06-30,333.0,0.0,0.0
2020-07-01,324.0,0.0,0.0
2020-07-02,325.0,0.0,0.0
2020-07-03,314.0,0.0,0.0
2020-07-04,320.0,0.0,0.0
2020-07-05,299.0,0.0,0.0
2020-07-06,305.0,0.0,0.0
2020-07-07,292.0,0.0,0.0
2020-07-08,287.0,0.0,0.0
2020-07-09,272.0,0.0,0.0
2020-07-10,276.0,0.0,0.0
2020-07-11,253.0,0.0,0.0
2020-07-12,254.0,0.0,0.0
2020-07-13,263.0,0.0,0.0
2020-07-14,256.0,0.0,0.0
2020-07-15,246.0,0.0,0.0
2020-07-16,251.0,0.0,0.0
2020-07-17,246.0,0.0,0.0
2020-07-18,246.0,0.0,0.0
2020-07-19,249.0,0.0,0.0
2020-07-20,245.0,0.0,0.0
2020-07-21,251.0,0.0,0.0
2020-07-22,248.0,0.0,0.0
2020-07-23,234.0,0.0,0.0
2020-07-24,235.0,0.0,0.0
2020-07-25,247.0,0.0,0.0
2020-07-26,265.0,0.0,0.0
2020-07-27,257.0,0.0,0.0
2020-07-28,253.0,0.0,0.0
2020-07-29,255.0,0.0,0.0
2020-07-30,260.0,0.0,0.0
2020-07-31,259.0,0.0,0.0
2020-08-01,255.0,0.0,0.0
2020-08-02,267.0,0.0,0.0
2020-08-03,263.0,0.0,0.0
2020-08-04,258.0,0.0,0.0
2020-08-05,238.0,0.0,0.0
2020-08-06,236.0,0.0,0.0
2020-08-07,226.0,0.0,0.0
2020-08-08,228.0,0.0,0.0
2020-08-09,234.0,0.0,0.0
2020-08-10,227.0,0.0,0.0
2020-08-11,230.0,0.0,0.0
2020-08-12,220.0,0.0,0.0
2020-08-13,223.0,0.0,0.0
2020-08-14,230.0,0.0,0.0
2020-08-15,228.0,0.0,0.0
2020-08-16,224.0,0.0,0.0
2020-08-17,226.0,0.0,0.0
2020-08-18,219.0,0.0,0.0
2020-08-19,226.0,0.0,0.0
2020-08-20,229.0,0.0,0.0
2020-08-21,235.0,0.0,0.0
2020-08-22,230.0,0.0,0.0
2020-08-23,242.0,0.0,0.0
2020-08-24,243.0,0.0,0.0
2020-08-25,223.0,0.0,0.0
2020-08-26,225.0,0.0,0.0
2020-08-27,238.0,0.0,0.0
2020-08-28,234.0,0.0,0.0
2020-08-29,239.0,0.0,0.0
2020-08-30,243.0,0.0,0.0
2020-08-31,244.0,0.0,0.0
2020-09-01,233.0,0.0,0.0
2020-09-02,226.0,0.0,0.0
2020-09-03,221.0,0.0,0.0
2020-09-04,223.0,0.0,0.0
2020-09-05,220.0,0.0,0.0
2020-09-06,216.0,0.0,0.0
2020-09-07,227.0,0.0,0.0
2020-09-08,229.0,0.0,0.0
